Check Name,Description,Status,Required,Weight,Level of Effort,Remediation Link,Error
CloudFormation StackSets organization service enabled,CloudFormation StackSets should be enabled for organization-wide deployments.,complete,No,5,1,https://docs.aws.amazon.com/AWSCloudFormation/latest/UserGuide/stacksets-orgs-enable-trusted-access.html,
AWS Backup organization service enabled,AWS Backup should be enabled as an organization service for centralized backup management.,complete,No,4,1,https://docs.aws.amazon.com/aws-backup/latest/devguide/manage-cross-account.html,
Cost Optimization Hub organization service enabled,Cost Optimization Hub should be enabled for organization-wide cost visibility.,complete,No,4,1,https://docs.aws.amazon.com/cost-management/latest/userguide/coh-getting-started.html,
Control Tower deployed,AWS Control Tower should be deployed for automated multi-account governance.,complete,Yes,6,6,https://docs.aws.amazon.com/controltower/latest/userguide/getting-started-with-control-tower.html,
Control Tower not drifted,Control Tower landing zone should not be in a drifted state.,complete,Yes,6,2,https://docs.aws.amazon.com/controltower/latest/userguide/drift.html,
Control Tower latest version,Control Tower landing zone should be on the latest available version.,complete,No,5,2,https://docs.aws.amazon.com/controltower/latest/userguide/configuration-updates.html,
IAM Identity Center configured,IAM Identity Center (SSO) should be configured for centralized identity management.,complete,Yes,6,3,https://docs.aws.amazon.com/singlesignon/latest/userguide/get-started-enable-identity-center.html,
No IAM users in account,The assessed account should avoid IAM users; use IAM Identity Center or federation instead.,complete,No,4,1,https://docs.aws.amazon.com/IAM/latest/UserGuide/best-practices.html#bp-users-federation-idp,
CloudTrail trail exists,At least one CloudTrail trail should be configured for audit logging.,complete,Yes,6,3,https://docs.aws.amazon.com/awscloudtrail/latest/userguide/cloudtrail-create-a-trail-using-the-console-first-time.html,
CloudTrail organization trail,An organization trail should be configured for centralized audit logging across all accounts.,complete,Yes,6,1,https://docs.aws.amazon.com/awscloudtrail/latest/userguide/creating-trail-organization.html,
AWS Config recorder active,AWS Config recorder should be active for resource configuration tracking.,error,Yes,6,2,https://docs.aws.amazon.com/config/latest/developerguide/gs-console.html,An error occurred (AccessDeniedException) when calling the DescribeConfigurationRecorders operation: User is not authorized to perform: config:DescribeConfigurationRecorders
AWS Config delivery channel active,AWS Config delivery channel should be configured for configuration change delivery.,complete,Yes,6,2,https://docs.aws.amazon.com/config/latest/developerguide/manage-delivery-channel.html,
No EC2 instances in account,Reports whether the assessed account contains EC2 instances; centralized management accounts should keep workloads elsewhere.,complete,No,4,1,https://docs.aws.amazon.com/whitepapers/latest/organizing-your-aws-environment/aws-organizations.html,
No VPCs in account,Reports whether the assessed account contains VPCs; centralized management accounts should keep workloads elsewhere.,complete,No,4,1,https://docs.aws.amazon.com/whitepapers/latest/organizing-your-aws-environment/aws-organizations.html,
Cost and Usage Report configured,A Cost and Usage Report should be configured for cost visibility.,incomplete,No,4,1,https://docs.aws.amazon.com/cur/latest/userguide/cur-create.html,
StackSets organization access enabled,CloudFormation StackSets should have organization access enabled for cross-account deployments.,complete,No,5,1,https://docs.aws.amazon.com/AWSCloudFormation/latest/UserGuide/stacksets-orgs-activate-trusted-access.html,
